BarCode,Part #,Product,Quantity,Code,Case,Tracking #,Set,Flag Notes,RFID
4028,UPRIGHT7-17FT (GREEN),Upright Pipe (7' - 17')  (GREEN),1,,12X 7-17' UPRIGHT,,Pipe & Drape,,
5493,UPRIGHT7-17FT (GREEN),Upright Pipe (7' - 17')  (GREEN),1,,12X 7-17' UPRIGHT,,Pipe & Drape,,
4912,UPRIGHT7-17FT (GREEN),Upright Pipe (7' - 17')  (GREEN),1,,12X 7-17' UPRIGHT,,Pipe & Drape,,
4031,UPRIGHT7-17FT (GREEN),Upright Pipe (7' - 17')  (GREEN),1,,12X 7-17' UPRIGHT,,Pipe & Drape,,
4896,UPRIGHT7-17FT (GREEN),Upright Pipe (7' - 17')  (GREEN),1,,12X 7-17' UPRIGHT,,Pipe & Drape,,
4903,UPRIGHT7-17FT (GREEN),Upright Pipe (7' - 17')  (GREEN),1,,12X 7-17' UPRIGHT,,Pipe & Drape,,
4029,UPRIGHT7-17FT (GREEN),Upright Pipe (7' - 17')  (GREEN),1,,12X 7-17' UPRIGHT,,Pipe & Drape,,
3463,BASEMASKING,"4' x 8', 50lb Base Black Masking",24,,1527,,Lighting,,
1500,CHEESEFIXED,Fixed Cheeseboro,4,,1527,,Lighting,,
4827,POWERCONTRUE1TOEDISON,PowerCON TRUE1 to Male Edison Cable,1,,1527,,Lighting,,
1449,CWRENCH,C-Wrench,2,,1527,,Lighting,,
3148,PIPEWRENCH,PIPE WRENCH,2,,1527,,Lighting,,
5863,DMXOPTOFLEENOR124,Fleenor - 124 1x4 5 Pin DMX Opto Splitter,1,,1527,,Lighting,,
5864,DMXOPTOFLEENOR124,Fleenor - 124 1x4 5 Pin DMX Opto Splitter,1,,1527,,Lighting,,
5862,DMXOPTOENTECDSPLIT,Entec - D-Split 1x4 5 Pin DMX Opto Splitter,1,,1527,,Lighting,,
4709,TECHDRAPEBASE,"14"" x 16"" Tech Drape Base",1,,TD01,,Pipe & Drape,,
2337,TECHDRAPEBASE,"14"" x 16"" Tech Drape Base",1,,TD01,,Pipe & Drape,,
4711,TECHDRAPEBASE,"14"" x 16"" Tech Drape Base",1,,TD01,,Pipe & Drape,,
5527,TECHDRAPEBASE,"14"" x 16"" Tech Drape Base",1,,TD01,,Pipe & Drape,,
4082,TECHDRAPEBASE,"14"" x 16"" Tech Drape Base",1,,TD01,,Pipe & Drape,,
4868,TECHDRAPE4X5(W),4' W x 5' H Black Tech Drape Panel,2,,TD01,,Pipe & Drape,,
10006,tech drape 5'x5' black(G),5' W x 5' H Black Tech Drape Panel,6,,TD01,,Pipe & Drape,,
2338,TECHDRAPENIPPLE,"4"" Nipple for Tech Drape Base",5,,TD01,,Pipe & Drape,,
4012,UPRIGHT3-5FT,Upright Pipe (3' - 5'),1,,TD01,,Pipe & Drape,,
4009,UPRIGHT3-5FT,Upright Pipe (3' - 5'),1,,TD01,,Pipe & Drape,,
4706,UPRIGHT3-5FT,Upright Pipe (3' - 5'),1,,TD01,,Pipe & Drape,,
4011,UPRIGHT3-5FT,Upright Pipe (3' - 5'),1,,TD01,,Pipe & Drape,,
4705,UPRIGHT3-5FT,Upright Pipe (3' - 5'),1,,TD01,,Pipe & Drape,,
5536,CROSSBEAM3-5FT,Crossbar (3' - 5' telescopic),1,,TD01,,Pipe & Drape,,
3322,CROSSBEAM3-5FT,Crossbar (3' - 5' telescopic),1,,TD01,,Pipe & Drape,,
5520,CROSSBEAM4-7FT,Crossbar (4' - 7' telescopic),1,,TD01,,Pipe & Drape,,
5516,CROSSBEAM4-7FT,Crossbar (4' - 7' telescopic),1,,TD01,,Pipe & Drape,,
7751,TECH DRAPE CASE,TECH DRAPE CASE,1,,TD01,,Pipe & Drape,,
4938,18X18BASE,"18"" x 18"" Drape Base",1,,1541,,Pipe & Drape,,
4939,18X18BASE,"18"" x 18"" Drape Base",1,,1541,,Pipe & Drape,,
4940,18X18BASE,"18"" x 18"" Drape Base",1,,1541,,Pipe & Drape,,
4941,18X18BASE,"18"" x 18"" Drape Base",1,,1541,,Pipe & Drape,,
4942,18X18BASE,"18"" x 18"" Drape Base",1,,1541,,Pipe & Drape,,
4943,18X18BASE,"18"" x 18"" Drape Base",1,,1541,,Pipe & Drape,,
4944,18X18BASE,"18"" x 18"" Drape Base",1,,1541,,Pipe & Drape,,
4945,18X18BASE,"18"" x 18"" Drape Base",1,,1541,,Pipe & Drape,,
4946,18X18BASE,"18"" x 18"" Drape Base",1,,1541,,Pipe & Drape,,
4947,18X18BASE,"18"" x 18"" Drape Base",1,,1541,,Pipe & Drape,,
4948,18X18BASE,"18"" x 18"" Drape Base",1,,1541,,Pipe & Drape,,
7289,18X18BASE,"18"" x 18"" Drape Base",1,,1541,,Pipe & Drape,,
,NIPPLE6INCH,"6"" Nipple for 18x18 base",12,NS,1541,,Pipe & Drape,Nonstock Item.,
111112,CCLAMPHEAVYDUTY,C-Clamps (HEAVY DUTY),4,,TVL02,,Lighting,,
5790,DANTEAVIOUSB2X2,Audinate - Dante AVIO,1,,1550,,Audio,,
5791,DANTEAVIOUSB2X2,Audinate - Dante AVIO,1,,1550,,Audio,,
5839,DANTEAVIOUSB2X2,Audinate - Dante AVIO,1,,1550,,Audio,,
1612,SAFETY,Lighting Safeties,4,,TVL02,,Lighting,,
5842,DANTEAVIOUSB2X2,Audinate - Dante AVIO,1,,1550,,Audio,,
5792,DANTEAVIOUSB2X2,Audinate - Dante AVIO,1,,1550,,Audio,,
4827,POWERCONTRUE1TOEDISON,PowerCON TRUE1 to Male Edison Cable,1,,TVL02,,Lighting,,
4827,POWERCONTRUE1TOEDISON,PowerCON TRUE1 to Male Edison Cable,1,,TVL02,,Lighting,,
4827,POWERCONTRUE1TOEDISON,PowerCON TRUE1 to Male Edison Cable,1,,TVL02,,Lighting,,
4825,TVLPANELDW,Elation - TVL PANEL DW,1,,TVL02,,Lighting,,
4822,TVLPANELDW,Elation - TVL PANEL DW,1,,TVL02,,Lighting,,
5757,TVLPANELBARNDOOR,TVL PANEL Barndoor,1,,TVL02,,Lighting,,
5758,TVLPANELBARNDOOR,TVL PANEL Barndoor,1,,TVL02,,Lighting,,
4823,TVLPANELDW,Elation - TVL PANEL DW,1,,TVL02,,Lighting,,
7725,TVL CASE,TVL CASE,1,,TVL02,,Lighting,,
7159,DM 7 CONTROL EXPANSION,DM 7 CONTROL EXPANSION,1,,,,Audio,,
7158,YAMAHA DM 7 EX CASE,YAMAHA DM 7 EX CASE,1,,,,Audio,,
7157,DM7EX,Yamaha - DM7-EX,1,,980,,Audio,,
7939,BOOMSTANDTALL,Microphone Boom Stand (tall),1,,07,,Audio,,
8451,BOOMSTANDTALL,Microphone Boom Stand (tall),1,,07,,Audio,,
8454,BOOMSTANDTALL,Microphone Boom Stand (tall),1,,07,,Audio,,
8449,BOOMSTANDTALL,Microphone Boom Stand (tall),1,,07,,Audio,,
7166,K&M Speaker Stand,K&M Speaker Stand,1,,07,,Audio,,
