BarCode,Part #,Product,Quantity,Code,Case,Tracking #,Set,Flag Notes,RFID
6377,AV line M4250-26G4F-POE+,NetGear 24 Port Managed switch,1,,2007,,Audio,,
6378,CPS1215RMS,CYBER POWER- POWER CONDITINER,1,,2007,,Audio,,
6376,CASE# 2007,CASE# 2007,1,,2007,,Audio,,
5395,CHIEFPF1TVSTAND,Chief - PF-1,1,,2X CHIEF PLASMA STAND,,Video,,
3760,CHIEFPF1TVSTAND,Chief - PF-1,1,,2X CHIEF PLASMA STAND,,Video,,
6343,CC-28-X4 Headset,Clear Com - CC-28-X4 Headset,1,,COM03 B,,Audio,,
6354,CC-28-X4 Headset,Clear Com - CC-28-X4 Headset,1,,COM03 B,,Audio,,
6351,CC-28-X4 Headset,Clear Com - CC-28-X4 Headset,1,,COM03 B,,Audio,,
6337,CC-28-X4 Headset,Clear Com - CC-28-X4 Headset,1,,COM03 B,,Audio,,
6353,CC-28-X4 Headset,Clear Com - CC-28-X4 Headset,1,,COM03 B,,Audio,,
6316,CC-28-X4 Headset,Clear Com - CC-28-X4 Headset,1,,COM03 B,,Audio,,
6355,CC-28-X4 Headset,Clear Com - CC-28-X4 Headset,1,,COM03 B,,Audio,,
6348,CC-28-X4 Headset,Clear Com - CC-28-X4 Headset,1,,COM03 B,,Audio,,
6356,CC-28-X4 Headset,Clear Com - CC-28-X4 Headset,1,,COM03 B,,Audio,,
6352,CC-28-X4 Headset,Clear Com - CC-28-X4 Headset,1,,COM03 B,,Audio,,
6342,CC-28-X4 Headset,Clear Com - CC-28-X4 Headset,1,,COM03 B,,Audio,,
10004,BAT 60,Clear com Free speak belt pack battery,20,,COM03 B,,Audio,,
6333,Clear com BP1G9,Clear Com FREE SPEAK  II Wireless BP,1,,COM03 B,,Audio,,
6325,Clear com BP1G9,Clear Com FREE SPEAK  II Wireless BP,1,,COM03 B,,Audio,,
6332,Clear com BP1G9,Clear Com FREE SPEAK  II Wireless BP,1,,COM03 B,,Audio,,
6326,Clear com BP1G9,Clear Com FREE SPEAK  II Wireless BP,1,,COM03 B,,Audio,,
6027,Clear com BP1G9,Clear Com FREE SPEAK  II Wireless BP,1,,COM03 B,,Audio,,
6335,CLEAR COM FREE SPEAK II AC60,CLEAR COM FREE SPEAK II CHARGING PLATE,1,,COM03 B,,Audio,,
6025,Clear com BP1G9,Clear Com FREE SPEAK  II Wireless BP,1,,COM03 B,,Audio,,
6024,Clear com BP1G9,Clear Com FREE SPEAK  II Wireless BP,1,,COM03 B,,Audio,,
6329,Clear com BP1G9,Clear Com FREE SPEAK  II Wireless BP,1,,COM03 B,,Audio,,
6330,Clear com BP1G9,Clear Com FREE SPEAK  II Wireless BP,1,,COM03 B,,Audio,,
6331,Clear com BP1G9,Clear Com FREE SPEAK  II Wireless BP,1,,COM03 B,,Audio,,
6336,Com 03 Case B,Com 03 Case B,1,,COM03 B,,Audio,,
7425,STRAIGHTMICSTAND,Microphone straight stand,1,,COM03 A,,Audio,,
7422,STRAIGHTMICSTAND,Microphone straight stand,1,,COM03 A,,Audio,,
6322,TCVRIP-US,CLEAR COM FREE SPEAK II POE ANTENNA,1,,COM03 A,,Audio,,
6323,TCVRIP-US,CLEAR COM FREE SPEAK II POE ANTENNA,1,,COM03 A,,Audio,,
6380,CPS1215RMS,CYBER POWER- POWER CONDITINER,1,,COM03 A,,Audio,,
7448,STRAIGHTSTANDBASE,Straight Mic Stand Bases,1,,COM03 A,,Audio,,
7449,STRAIGHTSTANDBASE,Straight Mic Stand Bases,1,,COM03 A,,Audio,,
6321,Q210P,Punqtum Q210P base station,1,,COM03 A,,Audio,,
6320,Free Speak Edge,Clear Com Edge base station,1,,COM03 A,,Audio,,
6319,AV line M4250-26G4F-POE+,NetGear 24 Port Managed switch,1,,COM03 A,,Audio,,
6318,Com 03  Case A,Com 03  Case A,1,,COM03 A,,Audio,,
1590,POWERSTRIP,Power Strip,6,,AC107,,Video,,
1469,CUBETAP,Cube Tap / edison,6,,AC107,,Video,,
1316,AC15FT/10FT,AC Cable 10'-15',6,,AC107,,Video,,
1339,AC25FT,AC Cable 25',6,,AC107,,Video,,
1371,AC50FT,AC Cable 50',6,,AC107,,Video,,
1594,QUADBOX,Quad box,2,,AC107,,Video,,
1590,POWERSTRIP,Power Strip,2,,AC107,,Video,,
3108,DPLUG,D-Plug,2,,AC107,,Video,,
1469,CUBETAP,Cube Tap / edison,2,,AC107,,Video,,
1283,AC100FT,AC Cable 100',2,,AC107,,Video,,
2698,ACCABLECASE,AC Cable Case,1,,AC107,,Video,,
3501,DSANCAT5100FT,D'San - 100' Cat5 Cable,1,,SPEAKERTIMER02,,Video,,
3499,DSANACADAPTOR,D'San - A/C Adaptor,2,,SPEAKERTIMER02,,Video,,
6581,DSANLARGECLOCK,D'San - ASL4-ND3 Large Digital Display,1,,SPEAKERTIMER02,,Video,,
3500,DSANCAT5TOXLRADAPTOR,D'San - Cat5 to XLR Adaptor,1,,SPEAKERTIMER02,,Video,,
6577,DSANPRO2000,D'San - PRO-2000 Limitimer,1,,SPEAKERTIMER02,,Video,,
6579,DSANSPEAKERCLOCK,D'San - PSL20V Speaker Clock,1,,SPEAKERTIMER02,,Video,,
7761,DSAN SPEAKER TIMER CASE,DSAN SPEAKER TIMER CASE,1,,SPEAKERTIMER02,,Video,,
5412,SPIDERPOD,Spider Pod Tripod Platform,1,,4X SPIDERPOD,,Video,,
5555,SPIDERPOD,Spider Pod Tripod Platform,1,,4X SPIDERPOD,,Video,,
5556,SPIDERPOD,Spider Pod Tripod Platform,1,,4X SPIDERPOD,,Video,,
5554,SPIDERPOD,Spider Pod Tripod Platform,1,,4X SPIDERPOD,,Video,,
6529,300FT NON SHIELDED ETHERCON REEL,300FT NON SHIELDED (GREEN) ETHERCON REEL,1,,TUB 17,,Video,,
5028,300FT NON SHIELDED ETHERCON REEL,300FT NON SHIELDED (GREEN) ETHERCON REEL,1,,1525,,Video,,
5041,300FT NON SHIELDED ETHERCON REEL,300FT NON SHIELDED (GREEN) ETHERCON REEL,1,,1525,,Video,,
5405,300FT NON SHIELDED ETHERCON REEL,300FT NON SHIELDED (GREEN) ETHERCON REEL,1,,1525,,Video,,
,,Network Switch !!!,1,NS,1525,,Video,Nonstock Item.,
5714,ETHERCONBARREL,Ethercon Barrels,8,,1525,,Video,,
6715,STREAMDECKMK2,Stream Deck MK.2,1,,1525,,Video,,
5729,1TBHARDDRIVE,Samsung/PNY - 860 EVO 1TB SSD Hard Drive,1,,1525,,Video,,
7560,1TBHARDDRIVE,Samsung/PNY - 860 EVO 1TB SSD Hard Drive,1,,1525,,Video,,
5320,1TBHARDDRIVE,Samsung/PNY - 860 EVO 1TB SSD Hard Drive,1,,1525,,Video,,
7933,1TBHARDDRIVE,Samsung/PNY - 860 EVO 1TB SSD Hard Drive,1,,1525,,Video,,
7929,1TBHARDDRIVE,Samsung/PNY - 860 EVO 1TB SSD Hard Drive,1,,1525,,Video,,
5730,1TBHARDDRIVE,Samsung/PNY - 860 EVO 1TB SSD Hard Drive,1,,1525,,Video,,
7927,1TBHARDDRIVE,Samsung/PNY - 860 EVO 1TB SSD Hard Drive,1,,1525,,Video,,
7934,1TBHARDDRIVE,Samsung/PNY - 860 EVO 1TB SSD Hard Drive,1,,1525,,Video,,
5549,MAGEWELLUSBCAPTUREPLUS,Magewell - USB Capture Plus,1,,1525,,Video,,
5733,MAGEWELLUSBCAPTUREPLUS,Magewell - USB Capture Plus,1,,1525,,Video,,
5789,MAGEWELLUSBCAPTUREPLUS,Magewell - USB Capture Plus,1,,1525,,Video,,
5802,MAGEWELLUSBCAPTUREPLUS,Magewell - USB Capture Plus,1,,1525,,Video,,
5448,MAGEWELLUSBCAPTUREPLUS,Magewell - USB Capture Plus,1,,1525,,Video,,
5803,MAGEWELLUSBCAPTUREPLUS,Magewell - USB Capture Plus,1,,1525,,Video,,
5801,MAGEWELLUSBCAPTUREPLUS,Magewell - USB Capture Plus,1,,1525,,Video,,
3946,SDITOHDMIMINICONVERTER,SDI to HDMI Mini Converter,1,,1525,,Video,,
4506,SDITOHDMIMINICONVERTER,SDI to HDMI Mini Converter,1,,1525,,Video,,
4616,SDITOHDMIMINICONVERTER,SDI to HDMI Mini Converter,1,,1525,,Video,,
4509,SDITOHDMIMINICONVERTER,SDI to HDMI Mini Converter,1,,1525,,Video,,
4423,SDITOHDMIMINICONVERTER,SDI to HDMI Mini Converter,1,,1525,,Video,,
4421,SDITOHDMIMINICONVERTER,SDI to HDMI Mini Converter,1,,1525,,Video,,
4574,DECIMATORMDHX,Decimator - MD-HX HDMI/SDI Cross Converter,1,,1525,,Video,,
4585,DECIMATORMDHX,Decimator - MD-HX HDMI/SDI Cross Converter,1,,1525,,Video,,
4579,DECIMATORMDHX,Decimator - MD-HX HDMI/SDI Cross Converter,1,,1525,,Video,,
4577,DECIMATORMDHX,Decimator - MD-HX HDMI/SDI Cross Converter,1,,1525,,Video,,
4581,DECIMATORMDHX,Decimator - MD-HX HDMI/SDI Cross Converter,1,,1525,,Video,,
4482,DECIMATORMDHX,Decimator - MD-HX HDMI/SDI Cross Converter,1,,1525,,Video,,
4583,DECIMATORMDHX,Decimator - MD-HX HDMI/SDI Cross Converter,1,,1525,,Video,,
4590,DECIMATORMDHX,Decimator - MD-HX HDMI/SDI Cross Converter,1,,1525,,Video,,
5767,DECIMATORMDHX,Decimator - MD-HX HDMI/SDI Cross Converter,1,,1525,,Video,,
4580,DECIMATORMDHX,Decimator - MD-HX HDMI/SDI Cross Converter,1,,1525,,Video,,
4458,DECIMATORMDHX,Decimator - MD-HX HDMI/SDI Cross Converter,1,,1525,,Video,,
5569,DECIMATORMDHX,Decimator - MD-HX HDMI/SDI Cross Converter,1,,1525,,Video,,
5394,ROBOCAM,Panasonic - AW-HE130K,1,,ROBO1,,Video,,
6801,NETWORK SWITCH,AUMOX SG308P 8 PORT  SWITCH,1,,ROBO1,,Video,,
5559,ROBOCAM,Panasonic - AW-HE130K,1,,ROBO1,,Video,,
5594,ROBOCAMCONTROLLER,Panasonic - AW-RP50,1,,ROBO1,,Video,,
7825,PANASONIC ROBO CAMERA CASE,PANASONIC ROBO CAMERA CASE,1,,ROBO1,,Video,,
5558,ROBOCAM,Panasonic - AW-HE130K,1,,ROBO2,,Video,,
7826,PANASONIC ROBO CAMERA CASE,PANASONIC ROBO CAMERA CASE,1,,ROBO2,,Video,,
4812,ROBOCAM,Panasonic - AW-HE130K,1,,ROBO3,,Video,,
7827,PANASONIC ROBO CAMERA CASE,PANASONIC ROBO CAMERA CASE,1,,ROBO3,,Video,,
5874,27INCHMONITOR,"ASUS - ProArt Display 27"" Monitor",1,,V706,,Video,,
7824,"27"" LCD MONITOR SINGLE PACK CASE","27"" LCD MONITOR SINGLE PACK CASE",1,,V706,,Video,,
5747,24INCHMONITOR,"ASUS/Insignia/Acer - 24"" LCD Monitor",1,,1503,,Video,,
5746,24INCHMONITOR,"ASUS/Insignia/Acer - 24"" LCD Monitor",1,,1503,,Video,,
7817,"24"" LCD MONITOR 2 PACK CASE","24"" LCD MONITOR 2 PACK CASE",1,,1503,,Video,,
4871,VIDEOCRASHBOX,Video Crash Box,1,,1525,,Video,,
,,White Balance Sheet !!!!,1,NS,1525,,Video,Nonstock Item.,
,TV Screen cleaning kit,TV Screen cleaning kit,1,,1525,,Video,,
4809,PIXLR,Video Devices - PIX-LR,1,,1525,,Video,,
4811,PIXE7,Video Devices - PIX-E7,1,,1525,,Video,,
4810,240GBSPEEDDRIVE,Video Devices - 240GB SpeedDrive,1,,1525,,Video,,
6005,STREAMDECKXL,Stream Deck XL,1,,1525,,Video,,
6009,Mac Book Pro 14,"14"" MacBook Pro with M1 Pro Chip 512 GIG",1,,1525,,Video,,
5742,LAPTOPCOMPUTERACERNITRO,ACER - Nitro Laptop Computer,1,,1525,,Video,,
5764,LAPTOPCOMPUTERACERNITRO,ACER - Nitro Laptop Computer,1,,1525,,Video,,
5763,LAPTOPCOMPUTERACERNITRO,ACER - Nitro Laptop Computer,1,,1525,,Video,,
6776,LAPTOPCOMPUTERACERNITRO,ACER - Nitro Laptop Computer,1,,1525,,Video,,
5744,LAPTOPCOMPUTERACERNITRO,ACER - Nitro Laptop Computer,1,,1525,,Video,,
5743,LAPTOPCOMPUTERACERNITRO,ACER - Nitro Laptop Computer,1,,1525,,Video,,
6777,LAPTOPCOMPUTERACERNITRO,ACER - Nitro Laptop Computer,1,,1525,,Video,,
4186,SDI50FT,HD/SDI Cable 50',10,,1531,,Video,,
4656,SDI3FT,HD/SDI Cable 3',40,,1531,,Video,,
4185,SDI25FT,HD/SDI Cable 25',14,,1531,,Video,,
4655,SDI10FT,HD/SDI Cable 10',40,,1531,,Video,,
4187,SDI100FT,HD/SDI Cable 100',10,,1531,,Video,,
5351,HDMI3FT/6FT,HDMI Cable 3' / 6',10,,1531,,Video,,
3791,HDMI25FT,HDMI Cable 25',14,,1531,,Video,,
3788,HDMI10FT/15FT,HDMI Cable 10' / 15',24,,1531,,Video,,
,CAT66FTRJ45,CAT6 Cable w/ RJ45 Connector 6',8,,1531,,Video,,
100018,CAT650RJ45,CAT6 Cable w/ RJ45 Connector 50',3,,1531,,Video,,
,CAT62FTRJ45,CAT6 Cable w/ RJ45 Connector 2',8,,1531,,Video,,
100019,CAT625FTRJ45,CAT6 Cable w/ RJ45 Connector 25',8,,1531,,Video,,
,CAT6100RJ45,CAT6 Cable w/ RJ45 Connector 100',3,,1531,,Video,,
5648,CAT510FT,CAT5 Cable 10',18,,1531,,Video,,
5032,50INCHVIZIOLEDTV,"VIZIO - SmartCast E-Series 50"" LED TV",1,,V500,,Video,,
5030,50INCHVIZIOLEDTV,"VIZIO - SmartCast E-Series 50"" LED TV",1,,V500,,Video,,
4601,50INCHVIZIOLEDTV,"VIZIO - SmartCast E-Series 50"" LED TV",1,,V500,,Video,,
7556,VIRTUALKIOSK43INCH,"42"" Digital Display Virtual Presenter Kiosk",1,,KIOSK01,,Video,,
4610,1MEBROADCASTPANEL,BlackMagic - ATEM 1 M/E Broadcast Panel,1,,BP01,,Video,,
6924,TL SG108,TP LINK 8 PORT GIGABIT SMART SWITCH,1,,V208,,Video,,
6922,UPSPOWERCONDITIONER,SMC1500-2U,1,,V208,,Video,,
5749,CONSTELLATION8K,BlackMagic - ATEM Constellation 8k,1,,V208,,Video,,
8243,HYPERDECKSTUDIO4KPRO12GSDI,Blackmagic - HyperDeck Studio 4K Pro 12G SDI,1,,V208,,Video,,
8242,HYPERDECKSTUDIO4KPRO12GSDI,Blackmagic - HyperDeck Studio 4K Pro 12G SDI,1,,V208,,Video,,
5866,HYPERDECKSTUDIO4KPRO,Blackmagic - HyperDeck Studio 4K Pro,1,,V208,,Video,,
5867,HYPERDECKSTUDIO4KPRO,Blackmagic - HyperDeck Studio 4K Pro,1,,V208,,Video,,
5865,HYPERDECKSTUDIO4KPRO,Blackmagic - HyperDeck Studio 4K Pro,1,,V208,,Video,,
6921,CPS1215RMS,CYBER POWER- POWER CONDITINER,1,,V208,,Video,,
4449,SMARTSCOPEPREVIEWMONITOR,Blackmagic - Smartscope Duo 4K,1,,V208,,Video,,
6771,"HP - Victus 15.6""  Laptop (15-1013DX)","HP - Victus 15.6""  Laptop Computer (r)",1,,V208,,Video,,
7540,20 space rolling unit rack,20 space rolling unit rack,1,,V208,,Video,,
